disease	aliquot_uuid	aliquot_bc	cghub_uuid	filename
BLCA	eaf54383-4286-4416-9b18-be1081797df2	TCGA-GC-A3RB-01A-12D-A21Z-08	013a12a1-3098-4535-b069-3d6befa25375	C500.TCGA-GC-A3RB-01A-12D-A21Z-08.1.bam
BLCA	1da60c80-b916-476e-b5f6-ed860171f568	TCGA-GD-A3OP-10A-01D-A21Z-08	08bdc70f-0e64-4a0e-a989-608d8d7b6370	C500.TCGA-GD-A3OP-10A-01D-A21Z-08.1.bam
BLCA	824f6ffa-5c80-43aa-a9ca-3c6b1979e9c4	TCGA-BT-A20W-11A-11D-A14W-08	08f730c7-04df-48db-8296-125b7a7171e6	C500.TCGA-BT-A20W-11A-11D-A14W-08.3.bam
BLCA	2b142863-b963-4cc9-8f8f-c72503c93390	TCGA-GD-A2C5-01A-12D-A17V-08	0daf2e9a-2a4f-4572-ac83-859f842680de	C500.TCGA-GD-A2C5-01A-12D-A17V-08.1.bam
BLCA	36524c53-ac54-4a42-a982-bed2e4354268	TCGA-FD-A3B6-01A-21D-A20D-08	0eeee373-6a87-428b-8608-9cc8d7209d64	C500.TCGA-FD-A3B6-01A-21D-A20D-08.1.bam
BLCA	e9bbbfc3-0beb-4f91-92a1-081bff7c4a07	TCGA-BT-A20R-01A-12D-A16O-08	10204c54-9461-4a37-a13c-907e41851726	C500.TCGA-BT-A20R-01A-12D-A16O-08.2.bam
BLCA	dc83b106-af68-430d-b92c-24bb7199925e	TCGA-FJ-A3ZE-10A-01D-A23K-08	13eae560-63d5-4da0-9545-9713e02e6f43	C500.TCGA-FJ-A3ZE-10A-01D-A23K-08.1.bam
BLCA	e6ea3eed-7b54-4b01-bc07-ce26cb941982	TCGA-BT-A20N-11A-11D-A14W-08	141d1c04-1240-4cac-9cc7-ec26fbe88395	C500.TCGA-BT-A20N-11A-11D-A14W-08.3.bam
BLCA	880d0e3d-c056-464e-af90-2b308666a1e3	TCGA-FJ-A3ZE-01A-11D-A23M-08	1b64d9bf-595c-420a-83c3-8ff84a496bbe	C500.TCGA-FJ-A3ZE-01A-11D-A23M-08.1.bam
BLCA	537e0d59-dd1c-479e-877f-eb9523c0967e	TCGA-DK-A2I2-01A-11D-A17V-08	1c07423d-a69b-431c-82b7-59567834cfb0	C500.TCGA-DK-A2I2-01A-11D-A17V-08.1.bam
BLCA	4ea5600d-3af7-4258-ad2c-79b6f9850377	TCGA-G2-A3IE-10A-01D-A20D-08	1e508059-e628-48bf-95a2-e57089074963	C500.TCGA-G2-A3IE-10A-01D-A20D-08.1.bam
BLCA	aecc0cdf-ce83-4121-a26b-b31d1d86ec2f	TCGA-GV-A3JX-10A-01D-A20D-08	23bfd337-f8f0-4a09-bb39-1fd835622a2d	C500.TCGA-GV-A3JX-10A-01D-A20D-08.1.bam
BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	TCGA-BT-A20P-01A-11D-A14W-08	242bea7a-8ea6-4713-bdad-c8ebe0ca0aa7	C500.TCGA-BT-A20P-01A-11D-A14W-08.3.bam
BLCA	0840ead2-aecf-458d-b042-4b5acda453c8	TCGA-DK-A2I2-10A-01D-A17V-08	29b5523a-f609-49b4-856f-3efdaa8672f0	C500.TCGA-DK-A2I2-10A-01D-A17V-08.1.bam
BLCA	3e02d723-691a-448c-85e2-4e39a3696ba5	TCGA-GD-A3OP-01A-21D-A21Z-08	2a7a6e16-44e5-4800-ba8e-f8a4a860564c	C500.TCGA-GD-A3OP-01A-21D-A21Z-08.1.bam
BLCA	e7aea186-f13b-43b1-8693-f90f51e005dd	TCGA-BT-A2LB-01A-11D-A18F-08	300e43bf-0cb4-4006-8d7a-618bae84bff8	C500.TCGA-BT-A2LB-01A-11D-A18F-08.1.bam
BLCA	82f98ff9-7161-45c3-8107-033b47e25f21	TCGA-G2-A2EJ-01A-11D-A17V-08	321798c1-692a-4ab3-8d5b-e605fe1ce0eb	C500.TCGA-G2-A2EJ-01A-11D-A17V-08.1.bam
BLCA	2e327841-eef0-42dd-883e-7d5b5a0d3a93	TCGA-H4-A2HO-01A-11D-A17V-08	36e94dc4-3c1b-4a3f-ac1b-3bf8d629f891	C500.TCGA-H4-A2HO-01A-11D-A17V-08.1.bam
BLCA	0b75e374-8428-4022-a2ec-06b625c6ab92	TCGA-G2-A2EO-11A-21D-A17V-08	37029dce-4ac9-4627-b455-5eb4503bb35c	C500.TCGA-G2-A2EO-11A-21D-A17V-08.1.bam
BLCA	0213b9a1-5fdd-4064-aaf8-79fbc9715fff	TCGA-CF-A3MI-10A-01D-A20D-08	3939ba58-b84a-47b1-a6e0-ed1ec2aff6c8	C500.TCGA-CF-A3MI-10A-01D-A20D-08.1.bam
BLCA	7c729b94-1488-4dec-b534-5d73530e535c	TCGA-CF-A27C-10A-01D-A16O-08	3b70a14a-91d6-49ef-9da3-3328830b18a3	C500.TCGA-CF-A27C-10A-01D-A16O-08.2.bam
BLCA	d05f9b81-7ba9-4231-aae6-1d2c14df22d7	TCGA-FD-A3B5-01A-11D-A20D-08	3c5027b8-33c9-4cc4-b18a-7ab7480b907b	C500.TCGA-FD-A3B5-01A-11D-A20D-08.1.bam
BLCA	9b3e164d-aaa0-4bb5-b7b8-6264b2746a47	TCGA-GD-A3OS-01A-12D-A21Z-08	3d117f8a-a6f0-4011-84eb-713731bb0f3a	C500.TCGA-GD-A3OS-01A-12D-A21Z-08.1.bam
BLCA	6f061801-6d8a-4969-8d40-9488aa47ad45	TCGA-GU-A42R-01A-11D-A23M-08	3e73f8b2-0716-4bb5-a856-8c74a274e524	C500.TCGA-GU-A42R-01A-11D-A23M-08.1.bam
BLCA	eb73bb35-af99-47b8-8bbb-33b5374e5c74	TCGA-G2-A2EK-01A-22D-A18F-08	3f5c65bb-f7cb-4396-be83-a35d3d6a7a5a	C500.TCGA-G2-A2EK-01A-22D-A18F-08.1.bam
BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	TCGA-BT-A20Q-01A-11D-A14W-08	47dc5edf-139f-43e0-bd04-73cd0b84fb43	C500.TCGA-BT-A20Q-01A-11D-A14W-08.4.bam
BLCA	c8dad5de-60a0-4dec-9529-5c70a6216491	TCGA-BT-A2LD-10A-01D-A20D-08	49c2e515-3c96-4032-b32d-1e342ff3b9fe	C500.TCGA-BT-A2LD-10A-01D-A20D-08.1.bam
BLCA	794d21de-faa1-497d-934a-49be110c1f4a	TCGA-FD-A3B5-10A-01D-A20D-08	49f9330a-04b0-479e-a765-1e07fa3821e4	C500.TCGA-FD-A3B5-10A-01D-A20D-08.1.bam
BLCA	d261214a-bf85-4af6-936a-9350303517bb	TCGA-DK-A3IU-10A-01D-A20D-08	49e97e8f-7b22-40f0-be01-9b20a0957f21	C500.TCGA-DK-A3IU-10A-01D-A20D-08.1.bam
BLCA	f350676a-e308-42fe-8297-9d18ba7027b1	TCGA-DK-A2I1-01A-11D-A17V-08	4d807d82-aa4d-4b3b-a49b-4b4ccf57c4d4	C500.TCGA-DK-A2I1-01A-11D-A17V-08.1.bam
BLCA	daddf34c-2e30-4c6e-8895-6a84a389f760	TCGA-DK-A3WW-10A-01D-A23K-08	4ed2fff4-a861-4510-aa28-818a89c8effe	C500.TCGA-DK-A3WW-10A-01D-A23K-08.1.bam
BLCA	faac4243-dcb7-4fe7-974f-7c1c97c101b3	TCGA-G2-A2EJ-10A-01D-A17V-08	4f85aab3-e113-46a6-bb1b-a2848fb952bb	C500.TCGA-G2-A2EJ-10A-01D-A17V-08.1.bam
BLCA	c3da3cc2-2299-4a3e-9de8-7a1d0a10345d	TCGA-DK-A3IQ-01A-31D-A20D-08	524829be-b6be-49eb-a2db-8b11a9d27dc5	C500.TCGA-DK-A3IQ-01A-31D-A20D-08.1.bam
BLCA	33a9da52-5471-456f-84cb-13c5de5b0994	TCGA-GV-A3QI-01A-11D-A21Z-08	52d4a4f6-e80d-4bd3-adf8-ba58c3f15bf4	C500.TCGA-GV-A3QI-01A-11D-A21Z-08.1.bam
BLCA	372feefe-ee84-4833-8651-8f023f38a56a	TCGA-GC-A3I6-01A-11D-A20D-08	5326a562-52f3-4644-9e02-fce6520f07e1	C500.TCGA-GC-A3I6-01A-11D-A20D-08.1.bam
BLCA	acef2a84-c0aa-447e-b57f-0b685260dcdd	TCGA-CF-A3MG-10A-01D-A20D-08	588a9062-2ef1-46b1-97c3-a0c34c6a849d	C500.TCGA-CF-A3MG-10A-01D-A20D-08.1.bam
