"TSS Code","Source Site","Study Name","BCR"
"81f6c2b5-9fce-4347-83fe-fc9ef62b35de","01","International Genomics Consortium","Ovarian serous cystadenocarcinoma","IGC"
"c8508e14-8a38-47e6-8d4e-5db96fc99a71","02","MD Anderson Cancer Center","Glioblastoma multiforme","IGC"
"29d7c4d9-cc53-430a-8f45-a57fd63506b8","03","Lung Cancer Tissue Bank of CALGB","Lung squamous cell carcinoma","IGC"
"c692c2d5-7f58-488f-84b1-fb768432d172","04","Gynecologic Oncology Group","Ovarian serous cystadenocarcinoma","IGC"
"4ed749df-2bc9-4287-9775-ddc3221a57ce","05","Indivumed","Lung adenocarcinoma","IGC"
"72718be7-edcd-409a-bd28-4cb0098623a8","06","Henry Ford Hospital","Glioblastoma multiforme","IGC"
"29b73ffc-5aeb-47ad-839f-63eaa82e2d69","07","TGen","Cell Line Control","IGC"
"c7135d3b-0d85-4dcd-abb4-3751c043a32f","08","UCSF","Glioblastoma multiforme","IGC"
"56eaa93d-699a-4140-99a6-8fc0e2b38a72","09","UCSF","Ovarian serous cystadenocarcinoma","IGC"
"a03bcbb9-0a53-4b77-80d1-6f455d02a270","10","MD Anderson Cancer Center","Ovarian serous cystadenocarcinoma","IGC"
"94a5a4b5-853f-4ed1-a0c9-dc6a31867ec3","11","MD Anderson Cancer Center","Lung squamous cell carcinoma","IGC"
"b3d0e916-bd40-4aa4-8d92-493be75eea96","12","Duke","Glioblastoma multiforme","IGC"
"3d8a7205-ba8e-4a0d-8ecf-4726411c2e0b","13","Memorial Sloan Kettering","Ovarian serous cystadenocarcinoma","IGC"
"3b5df562-44ec-44f0-ac85-8db99fc51433","14","Emory University","Glioblastoma multiforme","IGC"
"1aa22c1d-da60-4233-8c08-2b40ab8d5dec","15","Mayo Clinic - Rochester","Glioblastoma multiforme","IGC"
"6d7efac6-7dc8-4966-af5e-3a9ff5bc4590","16","Toronto Western Hospital","Glioblastoma multiforme","IGC"
"1a7f0a43-5b0d-4f83-ba19-8d221f9bdb23","17","Washington University","Lung adenocarcinoma","IGC"
"e68254fe-9b09-445b-9f9f-3b2d6923db80","18","Princess Margaret Hospital (Canada)","Lung squamous cell carcinoma","IGC"
"3041f84b-298f-4c9b-aef9-fbffd6547ada","19","Case Western","Glioblastoma multiforme","IGC"
"371dcb33-2066-48a8-953a-c84c77352e32","1T","University of Alabama","Skin Cutaneous Melanoma","NCH"
"e6e45d8e-9b7d-48eb-9f6a-49832fac335e","1U","University of Alabama","Esophageal carcinoma ","NCH"
"28883c59-77cb-4dd4-ad4b-e6859706fb91","1V","University of Alabama","Stomach adenocarcinoma","NCH"
"cb99e2a7-37db-4f4c-933e-94567315dff5","1W","University of Alabama","Kidney renal papillary cell carcinoma","NCH"
"3efad239-2b5b-4a3d-a332-4b3b92f203a7","1X","University of Alabama","Cholangiocarcinoma","NCH"
"201c994a-f738-4ef7-83cb-851488c66f82","1Y","Northside Hospital","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"0e50e317-b910-41c8-94b3-28f4ba254863","1Z","Johns Hopkins","Thymoma","NCH"
"71898c76-719b-4c95-a58f-d6934f1691a3","20","Fox Chase Cancer Center","Ovarian serous cystadenocarcinoma","IGC"
"b0bd79ff-9bc0-4c6d-aa0c-59fde9a7b6fd","21","Fox Chase Cancer Center","Lung squamous cell carcinoma","IGC"
"f00abfe3-42c3-410b-a077-0dcb7607ae37","22","Mayo Clinic - Rochester","Lung squamous cell carcinoma","IGC"
"ad3a66a1-41a2-4489-a110-b8819ef3f2f6","23","Cedars Sinai","Ovarian serous cystadenocarcinoma","IGC"
"dc536987-62fc-415a-a9ff-6c57483a474c","24","Washington University","Ovarian serous cystadenocarcinoma","IGC"
"29bbe2bd-a5b3-4d46-9056-9586d821931a","25","Mayo Clinic - Rochester","Ovarian serous cystadenocarcinoma","IGC"
"c90e3993-29d7-40c9-8ae0-5470058cf551","26","University of Florida","Glioblastoma multiforme","IGC"
"c540fd0e-98fe-498c-932f-ad2e6da5b759","27","Milan - Italy, Fondazione IRCCS Instituto Neuroligico C. Besta","Glioblastoma multiforme","IGC"
"43184488-7d27-4a4e-a536-546ce5eed2ec","28","Cedars Sinai","Glioblastoma multiforme","IGC"
"c2b2e2c9-9be8-4f2f-b9d7-f18994791f70","29","Duke","Ovarian serous cystadenocarcinoma","IGC"
"5c8cb459-98c2-4cc4-bc96-426c8cebbefe","2A","Memorial Sloan Kettering Cancer Center","Prostate adenocarcinoma","NCH"
"0c6563c3-eee7-4ce6-9eb4-4104e316b7fd","2B","Maine Medical Center","Bladder Urothelial Carcinoma","NCH"
"8a83c701-fce2-41e9-9207-8aa1b3918e87","2C","University of Kansas Medical Center","Esophageal carcinoma ","NCH"
"5d1538f2-2b61-4497-8403-4fa0efcc7989","2D","University of Arizona","Pancreatic adenocarcinoma","NCH"
"0b19c9ef-eeed-41cd-b6ab-d935063c3f7c","2E","University of Kansas Medical Center","Uterine Corpus Endometrial Carcinoma","NCH"
"937de8f1-dbe8-4d9c-aabc-7278841f30b4","2F","Erasmus MC","Bladder Urothelial Carcinoma","NCH"
"b9464384-9bd4-429e-a235-6b17d7f9823c","2G","Erasmus MC","Testicular Germ Cell Tumors","NCH"
"5df6d631-f564-4763-9234-af5a9c6d7608","2H","Erasmus MC","Esophageal carcinoma ","NCH"
"07457916-fc4f-4531-8f6a-f9acaca4c8a7","2J","Mayo Clinic","Pancreatic adenocarcinoma","NCH"
"7ae819fd-df3b-4d66-91d3-02d8c2472f61","2K","Greenville Health System","Kidney renal papillary cell carcinoma","NCH"
"d6b80bba-b547-49f4-b27f-5d6f3e0a327b","2L","Technical University of Munich","Pancreatic adenocarcinoma","NCH"
"956bbcb4-5501-4b73-8fc9-5575f91a38e4","2M","Technical University of Munich","Esophageal carcinoma ","NCH"
"bd2c63f2-ce89-400a-aee3-8a7c97a7f70f","2N","Technical University of Munich","Stomach adenocarcinoma","NCH"
"cf579edb-555e-46f7-954c-cfbcdc2d3db0","2P","University of California San Diego","Pancreatic adenocarcinoma","NCH"
"65aa2ac8-e304-483a-91ec-77bf326f7d11","2Q","University of California San Diego","Ovarian serous cystadenocarcinoma","NCH"
"7760e41c-dd67-468f-92c6-fb58fbab12c4","2R","University of California San Diego","Breast invasive carcinoma","NCH"
"d6796aeb-746e-45aa-8e06-623647e71b7b","2S","University of California San Diego","Colon adenocarcinoma","NCH"
"c75d42f6-06dc-4125-aeee-b1d089e312a0","2T","University of California San Diego","Kidney renal papillary cell carcinoma","NCH"
"174c979c-85bf-4fbd-9494-3857d420ba22","2U","University of California San Diego","Thyroid carcinoma","NCH"
"b3e79640-0d7d-411c-9fdc-6f57de35c8ff","2V","University of California San Diego","Liver hepatocellular carcinoma","NCH"
"cc710cde-ab7c-4a1c-aed5-a83bb7f9941e","2W","University of New Mexico","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"5aab38e6-49e0-4df6-a6f1-1c285e533e49","2X","ABS IUPUI","Testicular Germ Cell Tumors","NCH"
"04c44b04-e465-47ce-a5e1-cc4dd713a989","2Y","Moffitt Cancer Center","Liver hepatocellular carcinoma","NCH"
"61ff8a3b-d807-41f4-82f7-fc22830d607e","2Z","Moffitt Cancer Center","Kidney renal papillary cell carcinoma","NCH"
"cdf40143-c77b-4f91-8e4a-45b6f158ac66","30","Harvard","Ovarian serous cystadenocarcinoma","IGC"
"efc50765-11e2-44aa-a7f3-6bbb5ae26c47","31","Imperial College","Ovarian serous cystadenocarcinoma","IGC"
"0d271072-4847-444f-9d42-7426bb0916b6","32","St. Joseph's Hospital (AZ)","Glioblastoma multiforme","IGC"
"24e18ea1-27b5-47b6-8706-a562a1e830f1","33","Johns Hopkins","Lung squamous cell carcinoma","IGC"
"23628e7e-e82b-4b7a-9321-ff390cc08bf9","34","University of Pittsburgh","Lung squamous cell carcinoma","IGC"
"802fd7f5-2f19-4723-83e9-f5f82d7a9a05","35","Cureline","Lung adenocarcinoma","IGC"
"8b9e9bce-3cf3-4255-9b62-f803c111549a","36","BC Cancer Agency","Ovarian serous cystadenocarcinoma","IGC"
"b2ef49fc-abdf-4d8c-ac09-788b2e695341","37","Cureline","Lung squamous cell carcinoma","IGC"
"545152b6-7cab-4025-8e58-a2e1e088ddc8","38","UNC","Lung adenocarcinoma","IGC"
"05b74155-285f-4c5f-a201-14085725ec5f","39","MSKCC","Lung squamous cell carcinoma","IGC"
"3bae6c4a-e295-4a9e-b92f-4190326c8aeb","3A","Moffitt Cancer Center","Pancreatic adenocarcinoma","NCH"
"9f1ca212-0cd6-43d3-8c5a-5c4d05791ac0","3B","Moffitt Cancer Center","Sarcoma","NCH"
"886a7d0e-017a-444c-ac1a-2b8c351dcb4a","3C","Columbia University","Breast invasive carcinoma","NCH"
"4a45d1c0-0607-451d-9fe8-d7d0622da06b","3D","Columbia University","Stomach adenocarcinoma","NCH"
"c3efcf6a-5c2b-46b7-82d3-e6ed2f9c75f9","3E","Columbia University","Pancreatic adenocarcinoma","NCH"
"fd763813-1f90-470f-94fd-76b79bb63a46","3F","Columbia University","Mesothelioma","NCH"
"ab8f0be1-8de4-4ef2-aa69-5d53a5f2abd3","3G","MD Anderson Cancer Center","Thymoma","NCH"
"186eb04f-9ed7-4dff-9d15-8d1d9a2b03f9","3H","MD Anderson Cancer Center","Mesothelioma","NCH"
"7a712dba-5274-4bd0-9677-b7c282334a47","3J","Carle Cancer Center","Breast invasive carcinoma","NCH"
"c8956f10-fcd0-44d3-8b15-726260970e56","3K","Boston Medical Center","Liver hepatocellular carcinoma","NCH"
"120f6fcf-6777-420b-8c41-92b7903a17c5","3L","Albert Einstein Medical Center","Colon adenocarcinoma","NCH"
"254dfe0e-f699-4b9e-8a1e-b4613d77d59c","3M","University of Kansas Medical Center","Stomach adenocarcinoma","NCH"
"8492fb3a-ce53-47f1-a7f4-cadd1d4cfcba","3N","Greenville Health System","Skin Cutaneous Melanoma","NCH"
"def2c7c8-f345-468b-b00c-5b6fc676c63e","3P","Greenville Health System","Ovarian serous cystadenocarcinoma","NCH"
"551ccfac-3365-402b-8991-d76271c1f366","3Q","Greenville Health Systems","Thymoma","NCH"
"c830b10e-b79f-425c-bf98-2843841a9e75","3R","University of New Mexico","Sarcoma","NCH"
"2dfb2ea3-a8ae-4ef7-ab0f-a252826b2a28","3S","University of New Mexico","Thymoma","NCH"
"f3604822-be60-4431-8311-5d53e28d32a2","3T","Emory University","Thymoma","NCH"
"b4e267b8-3052-4701-9bbf-c26cbe1819b5","3U","University of Chicago","Mesothelioma","NCH"
"663416e5-747f-47f5-a3fc-3de95a61e621","3V","University of California San Diego","Mesothelioma","NCH"
"e7d364eb-1723-4223-848b-1965292846ba","3W","University of California San Diego","Sarcoma","NCH"
"2f5f74b9-5b2f-4022-beb4-e48c3df7a302","3X","Alberta Health Services","Cholangiocarcinoma","NCH"
"7459d11b-a294-4906-ab63-c874e8f47d01","3Y","University of Seoul","Acute Myeloid Leukemia","NCH"
"bfe0b021-d644-48fe-a80e-ce7db69c3dc9","3Z","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Kidney renal clear cell carcinoma","NCH"
"9a856f06-f0d7-4eeb-bef1-5dc075ff0b1b","40","MSKCC","Lung adenocarcinoma","IGC"
"9d6c4398-1b52-4e0e-8368-ba185e0b02fa","41","Christiana Healthcare","Glioblastoma multiforme","IGC"
"8b1063ee-e225-4007-99d2-6de3ff97b1e2","42","Christiana Healthcare","Ovarian serous cystadenocarcinoma","IGC"
"b7ad7314-4c08-4949-985b-47fd9edb4533","43","Christiana Healthcare","Lung squamous cell carcinoma","IGC"
"a69ca830-2ec3-414e-b404-2a778d55b57d","44","Christiana Healthcare","Lung adenocarcinoma","IGC"
"a29eb092-de03-4b5c-be66-c31fb407f7a7","45","St. Joseph's Medical Center (MD)","Glioblastoma multiforme","IGC"
"79904b25-d161-44f8-bc8e-5fddbb5fe629","46","St. Joseph's Medical Center (MD)","Lung squamous cell carcinoma","IGC"
"79e720e2-2b9c-4ef4-ab20-07e5e4ad9c33","47","St. Joseph's Medical Center (MD)","Ovarian serous cystadenocarcinoma","IGC"
"0183789b-7d85-4392-a41f-60c504821a7c","48","Princess Margaret Hospital (Canada)","Lung adenocarcinoma","IGC"
"26dd6632-c250-4627-b8a5-e8b0e3c25b0a","49","Johns Hopkins","Lung adenocarcinoma","IGC"
"deadc83e-9996-4454-89b2-252622e3259b","4A","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Kidney renal papillary cell carcinoma","NCH"
"ddbb7af2-79ed-438c-b203-69dac818eb06","4B","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Lung adenocarcinoma","NCH"
"2a11c60e-a9f1-48f6-b13c-47ee164b72fa","4C","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Thyroid carcinoma","NCH"
"b445112d-150e-45be-a994-f05c7b1e9bdb","4D","Molecular Response","Ovarian serous cystadenocarcinoma","NCH"
"9b24dcac-a4ed-41c5-8686-964439aaf4fd","4E","Molecular Response","Uterine Corpus Endometrial Carcinoma","NCH"
"a9b84a4a-44df-4bbe-9e69-21f493408a12","4F","Northside Hospital","Uterine Corpus Endometrial Carcinoma","NCH"
"ab046020-4eba-4015-a1b5-34afe9f531bd","4G","Sapienza University of Rome","Cholangiocarcinoma","NCH"
"f5994e9f-03c0-4182-8b12-c6785f7ede29","4H","Proteogenex, Inc.","Breast invasive carcinoma","NCH"
"f68a998a-50d3-4bef-8403-c82f79a10873","4J","Proteogenex, Inc.","Cervical squamous cell carcinoma and endocervical adenocarcinoma","NCH"
"9d079cf1-d7dc-49d3-ab9e-c5351c01116d","4K","Proteogenex, Inc.","Testicular Germ Cell Tumors","NCH"
"555e5ca4-abd0-4885-b421-4021a2203346","4L","Proteogenex, Inc.","Prostate adenocarcinoma","NCH"
"4ab7df66-ffd5-43e0-8464-983234260c89","4M","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Bladder Urothelial Carcinoma","NCH"
"de3ecbfd-6db5-44e3-8e68-e2f279c4bddd","4N","Mary Bird Perkins Cancer Center - Our Lady of the Lake","Colon adenocarcinoma","NCH"
"c46e9044-43a3-4ee9-beaa-6b8a6f4b6407","4P","Duke University","Head and Neck squamous cell carcinoma","NCH"
"ba4af85f-0a46-4939-b78b-0d46b0bbc54d","4Q","Duke University","Sarcoma","NCH"
"dee66423-5fa5-44ed-96a6-91ba96e9967b","4R","Duke University","Liver hepatocellular carcinoma","NCH"
"09af85f8-5c8f-491f-8f3e-1c529915e214","4S","Duke University","Prostate adenocarcinoma","NCH"
"f7ae161a-9afc-4b13-86e8-e480bf830dff","4T","Duke University","Colon adenocarcinoma","NCH"
"e9379259-161b-46cc-afbe-e4586e35a8f5","4U","Greenville Medical Center","Uterine Corpus Endometrial Carcinoma","NCH"
"e0f5d32e-8b8e-47a3-bd5e-e8127c6dda9e","4V","Hospital Louis Pradel","Thymoma","NCH"
"269ee135-79cc-4f7d-8da3-c81c70d6b0c3","4W","University of Miami","Glioblastoma multiforme","NCH"
"e3306509-06b2-4434-829f-878b5dfac9f6","4X","Yale University","Thymoma","NCH"
"e243e3c4-b263-47fc-b16b-ea37ed7d8b04","4Y","Medical College of Wisconsin","Sarcoma","NCH"
"e220c1a4-4772-419f-9896-4c5aa3fe61fa","4Z","Barretos Cancer Hospital","Bladder Urothelial Carcinoma","NCH"
"fe017e4f-d6a5-494d-bcca-58e3d6c284aa","50","University of Pittsburgh","Lung adenocarcinoma","IGC"
"69a7b65d-1fd2-479d-8968-8e398c4d1114","51","UNC","Lung squamous cell carcinoma","IGC"
"0be3efc8-8169-4bc0-a571-77a7a102858c","52","University of Miami","Lung squamous cell carcinoma","IGC"
"fabc8927-882f-482a-8d2b-3ff43860a2a2","53","University of Miami","Lung adenocarcinoma","IGC"
"bc480bb8-bf09-4f1e-abf8-12fc2ceffe75","55","International Genomics Consortium","Lung adenocarcinoma","IGC"
"12ccf1ce-cb7d-49ca-bf3c-5425652b344d","56","International Genomics Consortium","Lung squamous cell carcinoma","IGC"
"71de0832-1e34-4918-8602-6ea45c1f3178","57","International Genomics Consortium","Ovarian serous cystadenocarcinoma","IGC"
"55513ee0-f84e-4f19-80ad-1a42d1a4abbe","58","Thoraxklinik at University Hospital Heidelberg","Lung squamous cell carcinoma","IGC"
"3381fa74-50e8-43c5-8836-648fc20925dc","59","Roswell Park","Ovarian serous cystadenocarcinoma","IGC"
"a5877fc0-ecad-46a6-914d-645b4dd3f717","5A","Wake Forest University","Cholangiocarcinoma","NCH"
"7672d8e2-e733-418d-b145-41c1348fda40","5B","Medical College of Wisconsin","Uterine Corpus Endometrial Carcinoma","NCH"
"f62bb509-9eb3-4fcf-b9e5-a0266ebc3bb2","5C","Cureline","Liver hepatocellular carcinoma","NCH"
"82b1a3b5-18b6-4cef-a9fa-acc3dc334e81","5D","University of Miami","Sarcoma","NCH"
"50a62804-b3ff-48b7-a81d-2059cdc6c84b","5E","Northside Hospital","Ovarian serous cystadenocarcinoma","NCH"
"f6af5717-a824-4762-bb40-0464610508a3","5F","Duke University","Thyroid carcinoma","NCH"
"65285ce6-708b-41c6-84a9-7f3a9cf017d9","5G","Cleveland Clinic Foundation","Thymoma","NCH"
"f1f6a04a-1625-46dd-a028-08e3fd732a5c","5H","Retina Consultants Houston","Uveal Melanoma","NCH"
"9d95e861-bf9b-4122-901b-c0bc7656f9e8","5J","Cureline","Acute Myeloid Leukemia","NCH"
"74507f8f-bb89-4ac5-af83-c8000b6f3ede","5K","St. Joseph's Hospital AZ","Thymoma","NCH"
"fb7841b8-62be-4c0c-900d-d4643956d3b2","5L","University of Sao Paulo","Breast invasive carcinoma","NCH"
"0d637b2e-ef18-4fae-8a4c-1e41bbcf7e04","5M","University of Sao Paulo","Colon adenocarcinoma","NCH"
"1a8f231b-f24c-4157-8218-e1320a20d87f","5N","University Hospital Erlangen","Bladder Urothelial Carcinoma","NCH"
